,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Baker Hughes Canadian Land & Offshore Split by Province,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Alberta,British Columbia,Kavik,Manitoba,New Brunswick,Newfound Land,,N.W. Territories,Nova Scotia,,Ontario,,P.E. Island,Quebec,Saskatchewan,West Coast,,TOTAL CANADA,,,
DATE,Land,Land,Land,Land,Land,Land,Offshore,Land,Land,Offshore,Land,Offshore,Land,Land,Land,Land,Offshore,Land,Offshore,TOTAL,
3/28/2003,195,69,0,0,0,0,4,3,0,0,0,0,0,0,17,0,0,284,4,288,
4/4/2003,164,40,0,0,0,0,3,3,0,0,0,0,0,0,11,0,0,218,3,221,
4/11/2003,139,22,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,172,3,175,
4/17/2003,84,16,0,0,0,0,1,2,0,0,0,0,0,0,6,0,0,108,1,109,
4/25/2003,75,15,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,97,1,98,
5/2/2003,84,13,0,0,0,0,3,2,0,1,0,0,0,0,7,0,0,106,4,110,
5/9/2003,62,10,0,0,0,0,3,2,0,1,0,0,0,0,13,0,0,87,4,91,
5/16/2003,62,9,0,0,0,0,3,2,0,1,0,0,0,0,22,0,0,95,4,99,
5/23/2003,123,6,0,1,0,0,3,1,0,1,0,0,0,0,56,0,0,187,4,191,
5/30/2003,189,7,0,0,0,0,3,1,0,2,1,1,0,0,54,0,0,252,6,258,
6/6/2003,199,6,0,1,0,0,2,1,0,1,1,1,0,0,56,0,0,264,4,268,
6/13/2003,253,5,0,3,0,0,2,1,0,1,1,1,0,0,48,0,0,311,4,315,
6/20/2003,269,8,0,1,0,0,2,1,0,1,1,1,0,0,53,0,0,333,4,337,
6/27/2003,242,10,0,3,0,0,1,1,0,2,1,1,0,0,49,0,0,306,4,310,
7/3/2003,291,16,0,2,0,0,2,1,0,2,1,1,1,0,58,0,0,370,5,375,
7/11/2003,291,19,0,1,0,0,2,1,0,2,1,1,1,0,63,0,0,377,5,382,
7/18/2003,317,27,0,3,0,0,2,1,0,2,1,1,1,0,57,0,0,407,5,412,
7/25/2003,328,33,0,3,0,0,3,1,1,1,1,1,0,0,52,0,0,419,5,424,
8/1/2003,317,35,0,1,0,0,3,1,1,1,1,1,0,0,55,0,0,411,5,416,
8/8/2003,304,34,0,1,0,0,4,1,1,1,0,1,0,0,50,0,0,391,6,397,
8/15/2003,307,37,0,1,0,0,3,1,1,1,0,1,0,0,53,0,0,400,5,405,
8/22/2003,301,43,0,1,0,0,2,1,1,0,0,1,0,1,45,0,0,393,3,396,
8/29/2003,306,51,0,1,0,0,3,1,1,0,0,1,0,1,42,0,0,403,4,407,
9/5/2003,269,47,0,1,0,0,4,1,0,1,0,1,0,1,42,0,0,361,6,367,
9/12/2003,280,44,0,2,0,0,4,0,0,1,0,1,0,1,45,0,0,372,6,378,
9/19/2003,237,45,0,0,0,0,3,0,1,1,0,1,0,1,49,0,0,333,5,338,
9/26/2003,214,42,0,2,0,0,2,0,1,1,0,1,0,1,44,0,0,304,4,308,
