,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Hughes Land and Offshore Split by State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,,Alaska,,Arizona,Arkansas,California,,Colorado,Delaware,D.C.,Florida,,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,,Maine,Maryland,Mass.,Michigan,Minn.,Mississippi,,Missouri,Montana,Nebraska,Nevada,N. Hamp.,N. Jersey,N. Mexico,N. York,N. Carolina,N. Dakota,Ohio,Oklahoma,Oregon,Penn.,Rhode Is.,S. Carolina,S. Dakota,Tennesee,Texas,,Utah,Vermont,Virginia,Wash.,W. Virgina,Wisconsin,Wyoming,TOTAL US,,,
DATE,Land,Offshore,Land,Offshore,Land,Land,Land,Offshore,Land,Land,Land,Land,Offshore,Land,Land,Land,Land,Land,Land,Land,Land,Land,Offshore,Land,Land,Land,Land,Land,Land,Offshore,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Land,Offshore,Land,Land,Land,Land,Land,Land,Land,Land,Offshore,TOTAL,
1/7/2000,2,2,3,1,0,1,16,3,19,0,0,0,0,0,0,0,0,0,0,18,4,65,101,0,0,0,2,0,7,0,0,7,1,0,0,0,59,3,0,8,12,79,0,11,0,0,0,0,271,20,15,0,1,0,13,0,42,659,127,786,
1/14/2000,2,1,6,1,0,0,16,3,18,0,0,0,0,0,0,0,0,0,0,18,4,67,103,0,0,0,2,0,8,0,0,6,1,0,0,0,58,3,0,7,10,80,0,14,0,0,0,0,268,17,14,0,0,0,13,0,41,656,125,781,
1/21/2000,1,1,5,1,0,0,17,3,19,0,0,0,0,0,0,0,0,0,0,18,5,67,106,0,0,0,2,0,11,0,0,5,1,0,0,0,59,3,0,7,10,76,0,15,0,0,0,0,273,14,14,0,0,0,8,0,36,652,125,777,
1/28/2000,1,1,4,1,0,0,17,3,17,0,0,0,0,0,0,0,0,0,0,17,4,66,106,0,0,0,2,0,12,0,0,3,1,0,0,0,62,1,0,7,10,76,0,13,0,0,0,0,263,14,13,0,0,0,5,0,36,630,125,755,
2/4/2000,0,1,4,0,0,0,15,3,18,0,0,0,0,0,0,0,0,0,0,17,4,63,110,0,0,0,2,0,11,0,0,3,1,0,0,0,64,0,0,8,7,73,0,13,0,0,0,0,272,13,14,0,1,0,4,0,36,630,127,757,
2/11/2000,0,1,5,0,0,0,18,3,18,0,0,0,0,0,0,0,0,0,0,20,3,66,102,0,0,0,3,0,10,0,0,3,1,0,0,0,68,0,0,9,6,72,0,13,0,0,0,0,276,13,14,0,0,0,3,0,35,643,119,762,
2/18/2000,0,0,5,0,0,0,16,3,17,0,0,0,0,0,0,0,0,0,0,20,4,69,105,0,0,0,3,0,9,0,0,3,1,0,0,0,70,0,0,9,7,71,0,12,0,0,0,0,283,12,14,0,0,0,7,0,33,653,120,773,
2/25/2000,1,0,5,0,0,0,18,4,16,0,0,0,0,0,0,0,0,0,0,14,5,72,107,0,0,0,3,0,9,0,0,3,1,0,0,0,65,0,0,9,7,68,0,12,0,0,0,0,278,11,14,0,0,0,6,0,32,638,122,760,
3/3/2000,2,0,7,0,0,0,20,4,19,0,0,0,0,0,0,0,0,0,0,20,5,75,104,0,0,0,3,0,9,0,0,3,1,0,0,0,65,1,0,11,5,77,0,11,0,0,0,0,284,12,15,0,0,0,5,0,32,670,120,790,
